(419,483),(420,448),(99,482),(101,448),(62,468),
(81,442),(37,450),(63,426),(20,419),(53,414),
(12,396),(46,394),(12,170),(45,170),(19,136),
(49,148),(32,107),(60,123),(58,78),(81,103),
(86,59),(103,87),(123,46),(125,79),(423,44),
(422,77),(475,67),(455,91),(504,105),(474,116),
(512,145),(479,146),(503,184),(475,169),(481,216),
(458,193),(342,348),(321,325),(313,379),(288,356),
(260,396),(260,366),(204,383),(222,355),(167,342),
(197,329),(156,308),(190,304),(155,224),(189,225),
(166,192),(193,207),(183,163),(210,185),(223,137),
(238,168),(272,129),(273,163),(325,149),(304,174),
(493,322),(467,344),(512,372),(479,378),(500,428),
(471,411),(471,462),(448,439),(419,483),(420,448)
