(1010,4600),(1000,4267),(4057,4590),(4038,4267),(4410,4457),
(4229,4210),(4648,4286),(4400,4057),(4810,3990),(4495,3943),
(4886,3771),(4562,3752),(4886,1619),(4571,1619),(4819,1295),
(4533,1410),(4695,1019),(4429,1171),(4448,743),(4229,981),
(4181,562),(4019,829),(3829,438),(3810,752),(971,419),
(981,733),(476,638),(667,867),(200,1000),(486,1105),
(124,1381),(438,1390),(210,1752),(476,1610),(419,2057),
(638,1838),(1743,3314),(1943,3095),(2019,3610),(2257,3390),
(2524,3771),(2524,3486),(3057,3648),(2886,3381),(3410,3257),
(3124,3133),(3514,2933),(3190,2895),(3524,2133),(3200,2143),
(3419,1829),(3162,1971),(3257,1552),(3000,1762),(2876,1305),
(2733,1600),(2410,1229),(2400,1552),(1905,1419),(2105,1657),
(305,3067),(552,3276),(124,3543),(438,3600),(238,4076),
(514,3914),(514,4400),(733,4181),(1010,4600),(1000,4267),
