(3829,533,7)
(3410,533,8)
(3048,533,9)
(2686,533,8)
(2314,533,10)
(1924,533,8)
(1505,533,9)
(1143,533,11)
(848,571,30)
(581,705,50)
(400,886,70)
(295,1105,82)
(248,1381,97)
(248,1762,97)
(248,2133,97)
(248,2505,98)
(248,2857,97)
(248,3200,97)
(267,3486,109)
(343,3762,124)
(505,4010,141)
(743,4229,154)
(1000,4371,170)
(1362,4429,-175)
(1781,4438,-173)
(2171,4448,-174)
(2552,4457,-172)
(2933,4457,-172)
(3362,4448,-174)
(3781,4448,-174)
(4190,4381,-151)
(4543,4143,-120)
(4714,3819,-91)
(4733,3495,-67)
(4610,3190,-45)
(4400,2924,-33)
(4171,2714,-27)
(3952,2533,-34)
(3714,2305,-35)
(3495,2076,-32)
(3286,1876,-32)
(3067,1648,-36)
(2733,1419,-10)
(2305,1381,21)
(1895,1581,54)
(1676,1905,81)
(1619,2238,95)
(1610,2629,97)
(1638,2952,116)
(1752,3210,132)
(1981,3438,153)
(2343,3600,178)
(2762,3581,-153)
(3124,3381,-126)
(3371,3133,-125)
(3552,2952,-109)
(3695,2790,-123)
(3914,2562,-124)
(4143,2324,-127)
(4419,2038,-126)
(4657,1686,-104)
(4714,1257,-70)
(4552,867,-42)
(4248,629,-14)
